date,total
2020-03-14,2
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,1
2020-03-20,0
2020-03-21,0
2020-03-22,3
2020-03-23,2
2020-03-24,1
2020-03-25,1
2020-03-26,5
2020-03-27,3
2020-03-28,5
2020-03-29,3
2020-03-30,13
2020-03-31,6
2020-04-01,9
2020-04-02,14
2020-04-03,14
2020-04-04,13
2020-04-05,22
2020-04-06,16
2020-04-07,27
2020-04-08,20
2020-04-09,46
2020-04-10,22
2020-04-11,40
2020-04-12,42
2020-04-13,27
2020-04-14,37
2020-04-15,27
2020-04-16,26
2020-04-17,38
2020-04-18,35
2020-04-19,38
2020-04-20,33
2020-04-21,53
2020-04-22,36
2020-04-23,40
2020-04-24,59
2020-04-25,44
2020-04-26,56
2020-04-27,58
2020-04-28,69
2020-04-29,71
2020-04-30,75
2020-05-01,77
2020-05-02,92
2020-05-03,140
2020-05-04,103
2020-05-05,128
2020-05-06,91
2020-05-07,104
2020-05-08,97
2020-05-09,115
2020-05-10,112
2020-05-11,81
2020-05-12,120
2020-05-13,137
2020-05-14,97
2020-05-15,104
2020-05-16,120
2020-05-17,152
2020-05-18,131
2020-05-19,146
2020-05-20,134
2020-05-21,148
2020-05-22,142
2020-05-23,142
2020-05-24,156
2020-05-25,150
2020-05-26,173
2020-05-27,188
2020-05-28,176
2020-05-29,269
2020-05-30,205
2020-05-31,222
2020-06-01,201
2020-06-02,222
2020-06-03,259
2020-06-04,274
2020-06-05,286
2020-06-06,297
2020-06-07,261
2020-06-08,271
2020-06-09,272
2020-06-10,358
2020-06-11,394
2020-06-12,388
2020-06-13,309
2020-06-14,324
2020-06-15,396
2020-06-16,2004
2020-06-17,341
2020-06-18,343
2020-06-19,364
2020-06-20,308
2020-06-21,426
2020-06-22,312
2020-06-23,468
2020-06-24,424
2020-06-25,401
2020-06-26,381
